timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
8pm,Blacks,6-7ft,FAIR,NORMAL,4.83 FT,3.0,2.62562 FT,16.0,Onshore,66.90204 F,BRIEF_SHOWERS
8pm,Del Mar,4-5ft,FAIR,NORMAL,4.99 FT,3.0,2.62562 FT,16.0,Onshore,67.28004 F,MIST
8pm,LJ Shores,3-4ft,FAIR,NORMAL,4.83 FT,3.0,2.62562 FT,16.0,Onshore,66.90204 F,BRIEF_SHOWERS
8pm,Mission,3-4ft,FAIR,NORMAL,5.16 FT,3.0,3.16011 FT,16.0,Onshore,66.47004 F,BRIEF_SHOWERS
8pm,OB,4-5ft,FAIR,NORMAL,5.38 FT,3.0,3.21841 FT,16.0,Onshore,66.43404 F,BRIEF_SHOWERS
8pm,PB,4-5ft,POOR_TO_FAIR,NORMAL,5.16 FT,2.0,3.16011 FT,16.0,Onshore,66.47004 F,BRIEF_SHOWERS
8pm,Scripps,3-4ft,FAIR,NORMAL,4.83 FT,3.0,2.62562 FT,16.0,Onshore,66.90204 F,BRIEF_SHOWERS
8pm,Tourmo,3-4ft,FAIR,NORMAL,5.16 FT,3.0,3.16011 FT,16.0,Onshore,67.51404 F,SHOWERS
7pm,Blacks,6-7ft,FAIR,NORMAL,5.04 FT,3.0,2.72372 FT,16.0,Onshore,65.714 F,MOSTLY_CLOUDY
7pm,Blacks,6-7ft,FAIR,HIGH,5.05 FT,3.0,2.72372 FT,16.0,Onshore,65.714 F,MOSTLY_CLOUDY
7pm,Del Mar,4-5ft,FAIR,NORMAL,5.12 FT,3.0,2.72372 FT,16.0,Onshore,65.696 F,MIST
7pm,Del Mar,4-5ft,FAIR,HIGH,5.15 FT,3.0,2.72372 FT,16.0,Onshore,65.696 F,MIST
7pm,LJ Shores,3-4ft,FAIR,NORMAL,5.04 FT,3.0,2.72372 FT,16.0,Cross-shore,65.714 F,MOSTLY_CLOUDY
7pm,LJ Shores,3-4ft,FAIR,HIGH,5.05 FT,3.0,2.72372 FT,16.0,Cross-shore,65.714 F,MOSTLY_CLOUDY
7pm,Mission,4-5ft,FAIR,NORMAL,5.29 FT,3.0,3.1896 FT,16.0,Onshore,65.12 F,BRIEF_SHOWERS
7pm,Mission,4-5ft,FAIR,HIGH,5.31 FT,3.0,3.1896 FT,16.0,Onshore,65.12 F,BRIEF_SHOWERS
7pm,OB,4-5ft,FAIR,NORMAL,5.5 FT,3.0,3.26572 FT,16.0,Onshore,65.894 F,MIST
7pm,OB,4-5ft,FAIR,HIGH,5.54 FT,3.0,3.26572 FT,16.0,Onshore,65.894 F,MIST
7pm,PB,4-5ft,FAIR,NORMAL,5.29 FT,3.0,3.1896 FT,16.0,Onshore,65.12 F,BRIEF_SHOWERS
7pm,PB,4-5ft,FAIR,HIGH,5.31 FT,3.0,3.1896 FT,16.0,Onshore,65.12 F,BRIEF_SHOWERS
7pm,Scripps,3-4ft,FAIR,NORMAL,5.04 FT,3.0,2.72372 FT,16.0,Cross-shore,65.714 F,MOSTLY_CLOUDY
7pm,Scripps,3-4ft,FAIR,HIGH,5.05 FT,3.0,2.72372 FT,16.0,Cross-shore,65.714 F,MOSTLY_CLOUDY
7pm,Tourmo,3-4ft,FAIR,NORMAL,5.29 FT,3.0,3.1896 FT,16.0,Onshore,65.804 F,BRIEF_SHOWERS
7pm,Tourmo,3-4ft,FAIR,HIGH,5.31 FT,3.0,3.1896 FT,16.0,Onshore,65.804 F,BRIEF_SHOWERS
6pm,Blacks,6-7ft,FAIR,NORMAL,4.7 FT,2.833333333333333,2.73658 FT,16.0,Onshore,65.408 F,CLEAR
6pm,Del Mar,4-5ft,FAIR,NORMAL,4.68 FT,3.0,2.73658 FT,16.0,Onshore,64.94 F,MIST
6pm,LJ Shores,3-4ft,FAIR,NORMAL,4.7 FT,3.0,2.73658 FT,16.0,Onshore,65.408 F,CLEAR
6pm,Mission,4-5ft,FAIR,NORMAL,4.79 FT,3.0,3.21421 FT,16.0,Onshore,64.04 F,MIST
6pm,OB,4-5ft,FAIR,NORMAL,5.01 FT,3.0,3.29541 FT,16.0,Onshore,64.67 F,MIST
6pm,PB,4-5ft,FAIR,NORMAL,4.79 FT,3.0,3.21421 FT,16.0,Onshore,64.04 F,MIST
6pm,Scripps,3-4ft,FAIR,NORMAL,4.7 FT,3.0,2.73658 FT,16.0,Onshore,65.408 F,CLEAR
6pm,Tourmo,3-4ft,FAIR,NORMAL,4.79 FT,3.0,3.21421 FT,16.0,Onshore,64.976 F,BRIEF_SHOWERS
5pm,Blacks,6-7ft,FAIR,NORMAL,3.87 FT,2.6666666666666665,2.4644 FT,16.0,Onshore,65.876 F,CLEAR
5pm,Del Mar,4-5ft,FAIR,NORMAL,3.75 FT,3.0,2.4644 FT,16.0,Onshore,64.616 F,MIST
5pm,LJ Shores,3-4ft,FAIR,NORMAL,3.87 FT,3.0,2.4644 FT,16.0,Onshore,65.876 F,CLEAR
5pm,Mission,4-5ft,FAIR,NORMAL,3.74 FT,3.0,3.20509 FT,16.0,Onshore,64.454 F,MOSTLY_CLOUDY
5pm,OB,4-5ft,FAIR,NORMAL,3.98 FT,3.0,3.30358 FT,16.0,Onshore,64.796 F,MOSTLY_CLOUDY
5pm,PB,4-5ft,FAIR,NORMAL,3.74 FT,3.0,3.20509 FT,16.0,Onshore,64.454 F,MOSTLY_CLOUDY
5pm,Scripps,3-4ft,FAIR,NORMAL,3.87 FT,3.0,2.4644 FT,16.0,Onshore,65.876 F,CLEAR
5pm,Tourmo,3-4ft,FAIR,NORMAL,3.74 FT,3.0,3.20509 FT,16.0,Onshore,64.67 F,MOSTLY_CLOUDY
4pm,Blacks,6-7ft,FAIR,NORMAL,2.72 FT,2.5,2.45466 FT,16.0,Onshore,65.76804 F,CLEAR
4pm,Del Mar,4-5ft,FAIR,NORMAL,2.54 FT,3.0,2.45466 FT,16.0,Onshore,65.10204 F,MIST
4pm,LJ Shores,3-4ft,FAIR,NORMAL,2.72 FT,3.0,2.45466 FT,16.0,Cross-shore,65.76804 F,CLEAR
4pm,Mission,4-5ft,FAIR,NORMAL,2.4 FT,3.0,3.10161 FT,16.0,Cross-shore,64.58004 F,MOSTLY_CLOUDY
4pm,OB,4-5ft,FAIR,NORMAL,2.67 FT,3.0,3.29767 FT,16.0,Cross-shore,64.70604 F,MOSTLY_CLOUDY
4pm,PB,4-5ft,FAIR,NORMAL,2.4 FT,3.0,3.10161 FT,16.0,Onshore,64.58004 F,MOSTLY_CLOUDY
4pm,Scripps,3-4ft,FAIR,NORMAL,2.72 FT,3.0,2.45466 FT,16.0,Cross-shore,65.76804 F,CLEAR
