timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
8pm,Blacks,2-3ft,POOR_TO_FAIR,NORMAL,5.13 FT,2.0,1.79088 FT,7.0,Onshore,64.30996 F,CLEAR
8pm,Del Mar,3-4ft,POOR_TO_FAIR,NORMAL,5.0 FT,2.0,1.79088 FT,7.0,Onshore,63.55396 F,CLEAR
8pm,LJ Shores,2-3ft,FAIR,NORMAL,5.13 FT,3.0,1.79088 FT,7.0,Cross-shore,64.30996 F,CLEAR
8pm,Mission,2-3ft,FAIR,NORMAL,5.13 FT,3.0,2.10194 FT,7.0,Onshore,62.41996 F,MOSTLY_CLEAR
8pm,OB,2-3ft,FAIR,NORMAL,5.35 FT,3.0,2.23091 FT,7.0,Onshore,63.48196 F,MOSTLY_CLOUDY
8pm,PB,3-4ft,POOR_TO_FAIR,NORMAL,5.13 FT,2.0,2.10194 FT,7.0,Onshore,62.41996 F,MOSTLY_CLEAR
8pm,Scripps,2-3ft,FAIR,NORMAL,5.13 FT,3.0,1.79088 FT,7.0,Cross-shore,64.30996 F,CLEAR
8pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,5.13 FT,2.0,2.10194 FT,7.0,Onshore,65.26396 F,MOSTLY_CLEAR
7pm,Blacks,2-3ft,POOR_TO_FAIR,NORMAL,4.53 FT,1.8333333333333333,1.78222 FT,7.0,Onshore,64.724 F,MOSTLY_CLOUDY
7pm,Del Mar,3-4ft,POOR_TO_FAIR,NORMAL,4.33 FT,2.0,1.78222 FT,7.0,Onshore,63.5 F,MOSTLY_CLOUDY
7pm,LJ Shores,2-3ft,FAIR,NORMAL,4.53 FT,3.0,1.78222 FT,7.0,Cross-shore,64.724 F,MOSTLY_CLOUDY
7pm,Mission,2-3ft,FAIR,NORMAL,4.38 FT,3.0,2.13127 FT,7.0,Onshore,62.996 F,MOSTLY_CLOUDY
7pm,OB,2-3ft,FAIR,NORMAL,4.62 FT,2.833333333333333,2.29206 FT,7.0,Onshore,63.968 F,MOSTLY_CLOUDY
7pm,PB,3-4ft,POOR_TO_FAIR,NORMAL,4.38 FT,2.0,2.13127 FT,7.0,Onshore,62.996 F,MOSTLY_CLOUDY
7pm,Scripps,2-3ft,FAIR,NORMAL,4.53 FT,3.0,1.78222 FT,7.0,Cross-shore,64.724 F,MOSTLY_CLOUDY
7pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,4.38 FT,2.0,2.13127 FT,7.0,Onshore,66.452 F,MOSTLY_CLOUDY
6pm,Blacks,2-3ft,POOR_TO_FAIR,NORMAL,3.77 FT,2.0,1.76138 FT,7.0,Onshore,64.36404 F,MOSTLY_CLOUDY
6pm,Del Mar,3-4ft,POOR_TO_FAIR,NORMAL,3.53 FT,2.0,1.76138 FT,7.0,Onshore,64.63404 F,MOSTLY_CLOUDY
6pm,LJ Shores,2-3ft,FAIR,NORMAL,3.77 FT,3.0,1.76138 FT,7.0,Cross-shore,64.36404 F,MOSTLY_CLOUDY
6pm,Mission,2-3ft,FAIR,NORMAL,3.5 FT,3.0,2.04114 FT,7.0,Onshore,63.35604 F,MOSTLY_CLOUDY
6pm,OB,3-4ft,FAIR,NORMAL,3.75 FT,2.6666666666666665,2.30056 FT,7.0,Onshore,64.11204 F,MOSTLY_CLOUDY
6pm,PB,3-4ft,POOR_TO_FAIR,NORMAL,3.5 FT,2.0,2.04114 FT,7.0,Onshore,63.35604 F,MOSTLY_CLOUDY
6pm,Scripps,2-3ft,FAIR,NORMAL,3.77 FT,3.0,1.76138 FT,7.0,Cross-shore,64.36404 F,MOSTLY_CLOUDY
6pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,3.5 FT,2.0,2.04114 FT,7.0,Onshore,65.42604 F,MOSTLY_CLOUDY
5pm,Blacks,2-3ft,POOR_TO_FAIR,NORMAL,3.0 FT,2.0,1.72392 FT,7.0,Onshore,64.274 F,MOSTLY_CLOUDY
5pm,Del Mar,3-4ft,FAIR,NORMAL,2.76 FT,3.0,1.72392 FT,7.0,Onshore,64.994 F,MIST
5pm,LJ Shores,2-3ft,FAIR,NORMAL,3.0 FT,3.0,1.72392 FT,7.0,Cross-shore,64.274 F,MOSTLY_CLOUDY
5pm,Mission,2-3ft,FAIR,NORMAL,2.69 FT,3.0,2.11207 FT,7.0,Onshore,63.662 F,OVERCAST
5pm,OB,3-4ft,FAIR,NORMAL,2.93 FT,2.5,2.26325 FT,7.0,Onshore,64.346 F,CLOUDY
5pm,PB,3-4ft,POOR_TO_FAIR,NORMAL,2.69 FT,2.0,2.11207 FT,7.0,Onshore,63.662 F,OVERCAST
5pm,Scripps,2-3ft,FAIR,NORMAL,3.0 FT,3.0,1.72392 FT,7.0,Cross-shore,64.274 F,MOSTLY_CLOUDY
5pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,2.69 FT,2.0,2.11207 FT,7.0,Onshore,65.39 F,OVERCAST
4pm,Blacks,2-3ft,POOR_TO_FAIR,NORMAL,2.38 FT,2.0,1.7293 FT,7.0,Onshore,65.19196 F,OVERCAST
4pm,Del Mar,3-4ft,FAIR,NORMAL,2.19 FT,3.0,1.7293 FT,7.0,Onshore,66.00196 F,MOSTLY_CLOUDY
4pm,LJ Shores,2-3ft,FAIR,NORMAL,2.38 FT,3.0,1.7293 FT,7.0,Cross-shore,65.19196 F,OVERCAST
4pm,Mission,2-3ft,FAIR,NORMAL,2.14 FT,3.0,2.17707 FT,7.0,Onshore,63.85996 F,OVERCAST
4pm,OB,3-4ft,POOR_TO_FAIR,NORMAL,2.32 FT,2.333333333333333,2.3104 FT,7.0,Onshore,64.05796 F,CLOUDY
4pm,PB,3-4ft,FAIR,NORMAL,2.14 FT,3.0,2.17707 FT,7.0,Onshore,63.85996 F,OVERCAST
4pm,Scripps,2-3ft,FAIR,NORMAL,2.38 FT,3.0,1.7293 FT,7.0,Cross-shore,65.19196 F,OVERCAST
4pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,2.14 FT,2.0,2.17707 FT,7.0,Onshore,64.72396 F,OVERCAST
3pm,Blacks,2-3ft,POOR_TO_FAIR,NORMAL,2.01 FT,2.0,1.72503 FT,7.0,Cross-shore,65.84 F,OVERCAST
3pm,Del Mar,3-4ft,FAIR,NORMAL,1.89 FT,3.0,1.72503 FT,7.0,Cross-shore,64.544 F,MOSTLY_CLOUDY
3pm,LJ Shores,2-3ft,FAIR,NORMAL,2.01 FT,3.0,1.72503 FT,7.0,Offshore,65.84 F,OVERCAST
3pm,Mission,2-3ft,FAIR,NORMAL,1.92 FT,3.0,2.15787 FT,7.0,Onshore,64.958 F,DRIZZLE
