timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
8pm,Blacks,3-4ft,FAIR,NORMAL,3.15 FT,3.0,1.01683 FT,6.0,Onshore,67.208 F,MOSTLY_CLOUDY
8pm,Del Mar,2-3ft,FAIR,NORMAL,3.3 FT,3.0,1.01683 FT,6.0,Onshore,67.298 F,MOSTLY_CLOUDY
8pm,LJ Shores,2-3ft,POOR_TO_FAIR,NORMAL,3.15 FT,2.0,1.01683 FT,6.0,Onshore,67.208 F,MOSTLY_CLOUDY
8pm,Mission,2-3ft,POOR_TO_FAIR,NORMAL,3.51 FT,2.0,1.9418 FT,13.0,Onshore,66.596 F,MIST
8pm,OB,2-3ft,FAIR,NORMAL,3.59 FT,3.0,1.93304 FT,13.0,Onshore,66.362 F,MIST
8pm,PB,2-3ft,POOR_TO_FAIR,NORMAL,3.51 FT,2.0,1.9418 FT,13.0,Onshore,66.596 F,MIST
8pm,Scripps,2-3ft,POOR_TO_FAIR,NORMAL,3.15 FT,2.0,1.01683 FT,6.0,Onshore,67.208 F,MOSTLY_CLOUDY
8pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,3.51 FT,2.0,1.9418 FT,13.0,Cross-shore,74.318 F,CLEAR
7pm,Blacks,3-4ft,FAIR,NORMAL,3.85 FT,3.0,1.05148 FT,6.0,Onshore,67.226 F,MOSTLY_CLOUDY
7pm,Del Mar,2-3ft,FAIR,NORMAL,4.04 FT,3.0,1.05148 FT,6.0,Onshore,66.506 F,MIST
7pm,LJ Shores,2-3ft,POOR_TO_FAIR,NORMAL,3.85 FT,2.0,1.05148 FT,6.0,Onshore,67.226 F,MOSTLY_CLOUDY
7pm,Mission,2-3ft,POOR_TO_FAIR,NORMAL,4.2 FT,2.0,1.96526 FT,13.0,Onshore,66.686 F,MIST
7pm,OB,2-3ft,FAIR,NORMAL,4.36 FT,3.0,1.97251 FT,13.0,Onshore,66.164 F,MIST
7pm,PB,2-3ft,FAIR,NORMAL,4.2 FT,3.0,1.96526 FT,13.0,Onshore,66.686 F,MIST
7pm,Scripps,2-3ft,POOR_TO_FAIR,NORMAL,3.85 FT,2.0,1.05148 FT,6.0,Onshore,67.226 F,MOSTLY_CLOUDY
7pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,4.2 FT,2.0,1.96526 FT,13.0,Cross-shore,73.472 F,CLEAR
6pm,Blacks,3-4ft,FAIR,NORMAL,4.25 FT,3.0,1.07247 FT,6.0,Onshore,66.542 F,MIST
6pm,Del Mar,2-3ft,FAIR,NORMAL,4.4 FT,3.0,1.07247 FT,6.0,Onshore,65.822 F,MIST
6pm,LJ Shores,2-3ft,POOR_TO_FAIR,NORMAL,4.25 FT,2.0,1.07247 FT,6.0,Onshore,66.542 F,MIST
6pm,Mission,2-3ft,FAIR,NORMAL,4.54 FT,3.0,1.93156 FT,13.0,Onshore,66.776 F,MIST
6pm,OB,2-3ft,FAIR,NORMAL,4.74 FT,3.0,2.09249 FT,13.0,Onshore,66.254 F,MIST
6pm,PB,2-3ft,FAIR,NORMAL,4.54 FT,3.0,1.93156 FT,13.0,Onshore,66.776 F,MIST
6pm,Scripps,2-3ft,POOR_TO_FAIR,NORMAL,4.25 FT,2.0,1.07247 FT,6.0,Onshore,66.542 F,MIST
6pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,4.54 FT,2.0,1.93156 FT,13.0,Cross-shore,71.888 F,MOSTLY_CLOUDY
5pm,Blacks,3-4ft,FAIR,NORMAL,4.18 FT,3.0,1.13753 FT,6.0,Onshore,65.858 F,MIST
5pm,Blacks,3-4ft,FAIR,HIGH,4.3 FT,3.0,1.13753 FT,6.0,Onshore,65.858 F,MIST
5pm,Del Mar,2-3ft,FAIR,NORMAL,4.24 FT,3.0,1.13753 FT,6.0,Onshore,65.714 F,MIST
5pm,Del Mar,2-3ft,FAIR,HIGH,4.43 FT,3.0,1.13753 FT,6.0,Onshore,65.714 F,MIST
5pm,LJ Shores,2-3ft,POOR_TO_FAIR,NORMAL,4.18 FT,2.0,1.13753 FT,6.0,Onshore,65.858 F,MIST
5pm,LJ Shores,2-3ft,POOR_TO_FAIR,HIGH,4.3 FT,2.0,1.13753 FT,6.0,Onshore,65.858 F,MIST
5pm,Mission,2-3ft,FAIR,NORMAL,4.37 FT,3.0,2.03842 FT,13.0,Onshore,66.182 F,MIST
5pm,Mission,2-3ft,FAIR,HIGH,4.56 FT,3.0,2.03842 FT,13.0,Onshore,66.182 F,MIST
5pm,OB,2-3ft,FAIR,NORMAL,4.55 FT,3.0,2.11811 FT,13.0,Onshore,66.452 F,MOSTLY_CLOUDY
5pm,OB,2-3ft,FAIR,HIGH,4.76 FT,3.0,2.11811 FT,13.0,Onshore,66.452 F,MOSTLY_CLOUDY
5pm,PB,2-3ft,FAIR,NORMAL,4.37 FT,3.0,2.03842 FT,13.0,Onshore,66.182 F,MIST
5pm,PB,2-3ft,FAIR,HIGH,4.56 FT,3.0,2.03842 FT,13.0,Onshore,66.182 F,MIST
5pm,Scripps,2-3ft,FAIR,NORMAL,4.18 FT,3.0,1.13753 FT,6.0,Onshore,65.858 F,MIST
5pm,Scripps,2-3ft,FAIR,HIGH,4.3 FT,3.0,1.13753 FT,6.0,Onshore,65.858 F,MIST
5pm,Tourmo,2-3ft,POOR_TO_FAIR,NORMAL,4.37 FT,2.0,2.03842 FT,13.0,Cross-shore,69.89 F,MOSTLY_CLOUDY
5pm,Tourmo,2-3ft,POOR_TO_FAIR,HIGH,4.56 FT,2.0,2.03842 FT,13.0,Cross-shore,69.89 F,MOSTLY_CLOUDY
4pm,Blacks,3-4ft,FAIR,NORMAL,3.59 FT,3.0,1.22195 FT,6.0,Onshore,65.588 F,MIST
4pm,Del Mar,2-3ft,FAIR,NORMAL,3.54 FT,3.0,1.22195 FT,6.0,Onshore,66.056 F,MIST
4pm,LJ Shores,2-3ft,FAIR,NORMAL,3.59 FT,3.0,1.22195 FT,6.0,Onshore,65.588 F,MIST
4pm,Mission,2-3ft,FAIR,NORMAL,3.57 FT,3.0,2.07379 FT,13.0,Onshore,66.11 F,MIST
4pm,OB,2-3ft,FAIR,NORMAL,3.77 FT,3.0,2.1395 FT,13.0,Onshore,66.272 F,MOSTLY_CLOUDY
4pm,PB,2-3ft,FAIR,NORMAL,3.57 FT,3.0,2.07379 FT,13.0,Onshore,66.11 F,MIST
4pm,Scripps,2-3ft,FAIR,NORMAL,3.59 FT,3.0,1.22195 FT,6.0,Onshore,65.588 F,MIST
4pm,Tourmo,2-3ft,FAIR,NORMAL,3.57 FT,3.0,2.07379 FT,13.0,Onshore,68.99 F,MOSTLY_CLOUDY
3pm,Blacks,3-4ft,FAIR,NORMAL,2.57 FT,3.0,1.25909 FT,6.0,Onshore,65.75 F,MIST
3pm,Del Mar,2-3ft,FAIR,NORMAL,2.42 FT,3.0,1.25909 FT,6.0,Onshore,66.56 F,MIST
3pm,LJ Shores,2-3ft,FAIR,NORMAL,2.57 FT,3.0,1.25909 FT,6.0,Onshore,65.75 F,MIST
3pm,Mission,2-3ft,FAIR,NORMAL,2.32 FT,3.0,2.07858 FT,13.0,Onshore,66.416 F,MIST
3pm,OB,2-3ft,FAIR,NORMAL,2.54 FT,3.0,2.13524 FT,13.0,Onshore,66.272 F,MIST
3pm,PB,2-3ft,FAIR,NORMAL,2.32 FT,3.0,2.07858 FT,13.0,Onshore,66.416 F,MIST
3pm,Scripps,2-3ft,FAIR,NORMAL,2.57 FT,3.0,1.25909 FT,6.0,Onshore,65.75 F,MIST
3pm,Tourmo,2-3ft,FAIR,NORMAL,2.32 FT,3.0,2.07858 FT,13.0,Cross-shore,68.342 F,MOSTLY_CLOUDY
2pm,Blacks,3-4ft,FAIR,NORMAL,1.34 FT,3.0,1.32067 FT,6.0,Onshore,66.398 F,MOSTLY_CLOUDY
2pm,Del Mar,2-3ft,FAIR,NORMAL,1.15 FT,3.0,1.32067 FT,6.0,Onshore,66.884 F,MOSTLY_CLOUDY
2pm,LJ Shores,2-3ft,FAIR,NORMAL,1.34 FT,3.0,1.32067 FT,6.0,Onshore,66.398 F,MOSTLY_CLOUDY
2pm,Mission,2-3ft,FAIR,NORMAL,0.92 FT,3.0,2.09314 FT,13.0,Onshore,66.38 F,MOSTLY_CLOUDY
2pm,OB,2-3ft,FAIR,NORMAL,1.16 FT,3.0,2.06207 FT,13.0,Onshore,66.416 F,MOSTLY_CLOUDY
2pm,PB,2-3ft,FAIR,NORMAL,0.92 FT,3.0,2.09314 FT,13.0,Onshore,66.38 F,MOSTLY_CLOUDY
2pm,Scripps,2-3ft,FAIR,NORMAL,1.34 FT,3.0,1.32067 FT,6.0,Onshore,66.398 F,MOSTLY_CLOUDY
2pm,Tourmo,2-3ft,FAIR,NORMAL,0.92 FT,3.0,2.09314 FT,13.0,Cross-shore,67.154 F,MOSTLY_CLOUDY
1pm,Blacks,3-4ft,FAIR,NORMAL,0.19 FT,3.0,1.37326 FT,6.0,Onshore,66.632 F,MOSTLY_CLOUDY
1pm,Del Mar,2-3ft,FAIR,NORMAL,0.01 FT,3.0,1.37326 FT,6.0,Onshore,67.118 F,CLEAR
1pm,LJ Shores,2-3ft,FAIR,NORMAL,0.19 FT,3.0,1.37326 FT,6.0,Onshore,66.632 F,MOSTLY_CLOUDY
1pm,Mission,2-3ft,FAIR,NORMAL,-0.24 FT,3.0,2.11732 FT,13.0,Onshore,66.614 F,MOSTLY_CLOUDY
1pm,OB,2-3ft,FAIR,NORMAL,-0.06 FT,3.0,2.07913 FT,13.0,Onshore,66.47 F,MOSTLY_CLOUDY
1pm,PB,2-3ft,FAIR,NORMAL,-0.24 FT,3.0,2.11732 FT,13.0,Onshore,66.614 F,MOSTLY_CLOUDY
1pm,Scripps,2-3ft,FAIR,NORMAL,0.19 FT,3.0,1.37326 FT,6.0,Onshore,66.632 F,MOSTLY_CLOUDY
1pm,Tourmo,2-3ft,FAIR,NORMAL,-0.24 FT,3.0,2.11732 FT,13.0,Onshore,66.794 F,MOSTLY_CLOUDY
12pm,Blacks,3-4ft,FAIR,NORMAL,-0.58 FT,3.0,1.42615 FT,6.0,Onshore,66.83 F,NIGHT_MOSTLY_CLEAR
12pm,Del Mar,2-3ft,FAIR,NORMAL,-0.7 FT,3.0,1.42615 FT,6.0,Onshore,67.37 F,NIGHT_CLEAR
12pm,LJ Shores,2-3ft,FAIR,NORMAL,-0.58 FT,3.0,1.42615 FT,6.0,Onshore,66.83 F,NIGHT_MOSTLY_CLEAR
12pm,Mission,2-3ft,FAIR,NORMAL,-0.83 FT,3.0,2.12877 FT,13.0,Onshore,66.884 F,NIGHT_MOSTLY_CLEAR
12pm,OB,2-3ft,FAIR,NORMAL,-0.79 FT,3.0,2.17822 FT,13.0,Onshore,66.434 F,NIGHT_MOSTLY_CLEAR
12pm,PB,2-3ft,FAIR,NORMAL,-0.83 FT,3.0,2.12877 FT,13.0,Onshore,66.884 F,NIGHT_MOSTLY_CLEAR
12pm,Scripps,2-3ft,FAIR,NORMAL,-0.58 FT,3.0,1.42615 FT,6.0,Onshore,66.83 F,NIGHT_MOSTLY_CLEAR
12pm,Tourmo,2-3ft,FAIR,NORMAL,-0.83 FT,3.0,2.12877 FT,13.0,Cross-shore,66.758 F,NIGHT_MOSTLY_CLEAR
11am,Blacks,3-4ft,FAIR,NORMAL,-0.75 FT,3.0,1.47484 FT,6.0,Onshore,66.79404 F,NIGHT_MOSTLY_CLOUDY
11am,Blacks,3-4ft,FAIR,LOW,-0.75 FT,3.0,1.47484 FT,6.0,Onshore,66.79404 F,NIGHT_MOSTLY_CLOUDY
11am,Del Mar,2-3ft,FAIR,NORMAL,-0.78 FT,3.0,1.47484 FT,6.0,Onshore,67.13604 F,NIGHT_CLEAR
11am,Del Mar,2-3ft,FAIR,LOW,-0.82 FT,3.0,1.47484 FT,6.0,Onshore,67.13604 F,NIGHT_CLEAR
11am,LJ Shores,2-3ft,FAIR,NORMAL,-0.75 FT,3.0,1.47484 FT,6.0,Onshore,66.79404 F,NIGHT_MOSTLY_CLOUDY
11am,LJ Shores,2-3ft,FAIR,LOW,-0.75 FT,3.0,1.47484 FT,6.0,Onshore,66.79404 F,NIGHT_MOSTLY_CLOUDY
11am,Mission,2-3ft,FAIR,NORMAL,-0.68 FT,3.0,2.00131 FT,13.0,Onshore,66.56004 F,NIGHT_MOSTLY_CLEAR
11am,Mission,2-3ft,FAIR,LOW,-0.85 FT,3.0,2.00131 FT,13.0,Onshore,66.56004 F,NIGHT_MOSTLY_CLEAR
11am,OB,2-3ft,FAIR,NORMAL,-0.81 FT,3.0,2.18333 FT,13.0,Onshore,66.16404 F,NIGHT_CLEAR
11am,OB,2-3ft,FAIR,LOW,-0.89 FT,3.0,2.18333 FT,13.0,Onshore,66.16404 F,NIGHT_CLEAR
11am,PB,2-3ft,FAIR,NORMAL,-0.68 FT,3.0,2.00131 FT,13.0,Onshore,66.56004 F,NIGHT_MOSTLY_CLEAR
11am,PB,2-3ft,FAIR,LOW,-0.85 FT,3.0,2.00131 FT,13.0,Onshore,66.56004 F,NIGHT_MOSTLY_CLEAR
11am,Scripps,2-3ft,FAIR,NORMAL,-0.75 FT,3.0,1.47484 FT,6.0,Onshore,66.79404 F,NIGHT_MOSTLY_CLOUDY
11am,Scripps,2-3ft,FAIR,LOW,-0.75 FT,3.0,1.47484 FT,6.0,Onshore,66.79404 F,NIGHT_MOSTLY_CLOUDY
11am,Tourmo,2-3ft,FAIR,NORMAL,-0.68 FT,3.0,2.00131 FT,13.0,Offshore,66.52404 F,NIGHT_MOSTLY_CLEAR
11am,Tourmo,2-3ft,FAIR,LOW,-0.85 FT,3.0,2.00131 FT,13.0,Offshore,66.52404 F,NIGHT_MOSTLY_CLEAR
10am,Blacks,3-4ft,FAIR,NORMAL,-0.24 FT,3.0,1.51611 FT,7.0,Onshore,66.902 F,NIGHT_MOSTLY_CLOUDY
10am,Del Mar,2-3ft,FAIR,NORMAL,-0.15 FT,3.0,1.51611 FT,7.0,Onshore,66.794 F,NIGHT_MOSTLY_CLOUDY
10am,LJ Shores,2-3ft,FAIR,NORMAL,-0.24 FT,3.0,1.51611 FT,7.0,Onshore,66.902 F,NIGHT_MOSTLY_CLOUDY
10am,Mission,2-3ft,FAIR,NORMAL,0.13 FT,3.0,2.03448 FT,13.0,Onshore,66.254 F,NIGHT_MOSTLY_CLOUDY
10am,OB,3-4ft,FAIR,NORMAL,-0.08 FT,3.0,2.23842 FT,13.0,Onshore,66.254 F,NIGHT_CLEAR
10am,PB,2-3ft,FAIR,NORMAL,0.13 FT,3.0,2.03448 FT,13.0,Onshore,66.254 F,NIGHT_MOSTLY_CLOUDY
10am,Scripps,2-3ft,FAIR,NORMAL,-0.24 FT,3.0,1.51611 FT,7.0,Onshore,66.902 F,NIGHT_MOSTLY_CLOUDY
10am,Tourmo,2-3ft,FAIR,NORMAL,0.13 FT,3.0,2.03448 FT,13.0,Cross-shore,66.29 F,NIGHT_MOSTLY_CLOUDY
9am,Blacks,3-4ft,FAIR,NORMAL,0.88 FT,3.0,1.59042 FT,7.0,Onshore,66.614 F,NIGHT_MOSTLY_CLOUDY
9am,Del Mar,2-3ft,FAIR,NORMAL,1.09 FT,3.0,1.59042 FT,7.0,Onshore,66.254 F,NIGHT_MOSTLY_CLOUDY
9am,LJ Shores,2-3ft,FAIR,NORMAL,0.88 FT,3.0,1.59042 FT,7.0,Onshore,66.614 F,NIGHT_MOSTLY_CLOUDY
9am,Mission,2-3ft,FAIR,NORMAL,1.45 FT,3.0,2.03888 FT,13.0,Onshore,65.768 F,NIGHT_MOSTLY_CLOUDY
9am,OB,3-4ft,FAIR,NORMAL,1.27 FT,3.0,2.15115 FT,13.0,Onshore,65.948 F,NIGHT_CLEAR
9am,PB,2-3ft,FAIR,NORMAL,1.45 FT,3.0,2.03888 FT,13.0,Onshore,65.768 F,NIGHT_MOSTLY_CLOUDY
9am,Scripps,2-3ft,FAIR,NORMAL,0.88 FT,3.0,1.59042 FT,7.0,Onshore,66.614 F,NIGHT_MOSTLY_CLOUDY
9am,Tourmo,2-3ft,FAIR,NORMAL,1.45 FT,3.0,2.03888 FT,13.0,Onshore,65.84 F,NIGHT_MOSTLY_CLOUDY
8am,Blacks,3-4ft,FAIR,NORMAL,2.39 FT,3.0,1.68035 FT,7.0,Onshore,66.37996 F,NIGHT_MOSTLY_CLOUDY
8am,Del Mar,3-4ft,FAIR,NORMAL,2.69 FT,3.0,1.68035 FT,7.0,Onshore,65.78596 F,NIGHT_MIST
8am,LJ Shores,2-3ft,FAIR,NORMAL,2.39 FT,3.0,1.68035 FT,7.0,Onshore,66.37996 F,NIGHT_MOSTLY_CLOUDY
8am,Mission,2-3ft,FAIR,NORMAL,3.04 FT,3.0,2.06742 FT,13.0,Onshore,65.35396 F,NIGHT_MIST
8am,OB,3-4ft,FAIR,NORMAL,2.98 FT,3.0,2.14304 FT,13.0,Onshore,65.71396 F,NIGHT_CLEAR
8am,PB,2-3ft,FAIR,NORMAL,3.04 FT,3.0,2.06742 FT,13.0,Onshore,65.35396 F,NIGHT_MIST
8am,Scripps,2-3ft,FAIR,NORMAL,2.39 FT,3.0,1.68035 FT,7.0,Onshore,66.37996 F,NIGHT_MOSTLY_CLOUDY
8am,Tourmo,2-3ft,FAIR,NORMAL,3.04 FT,3.0,2.06742 FT,13.0,Onshore,65.76796 F,NIGHT_MOSTLY_CLOUDY
7am,Blacks,3-4ft,FAIR,NORMAL,3.99 FT,3.0,1.73071 FT,7.0,Onshore,66.38 F,NIGHT_MOSTLY_CLOUDY
7am,Del Mar,3-4ft,FAIR,NORMAL,4.31 FT,3.0,1.73071 FT,7.0,Onshore,65.606 F,NIGHT_MOSTLY_CLOUDY
7am,LJ Shores,2-3ft,FAIR,NORMAL,3.99 FT,3.0,1.73071 FT,7.0,Cross-shore,66.38 F,NIGHT_MOSTLY_CLOUDY
7am,Mission,2-3ft,FAIR,NORMAL,4.61 FT,3.0,2.08947 FT,13.0,Onshore,65.174 F,NIGHT_MOSTLY_CLOUDY
7am,OB,2-3ft,FAIR,NORMAL,4.7 FT,3.0,2.18845 FT,13.0,Onshore,65.606 F,NIGHT_MOSTLY_CLOUDY
7am,PB,2-3ft,FAIR,NORMAL,4.61 FT,3.0,2.08947 FT,13.0,Onshore,65.174 F,NIGHT_MOSTLY_CLOUDY
7am,Scripps,2-3ft,FAIR,NORMAL,3.99 FT,3.0,1.73071 FT,7.0,Cross-shore,66.38 F,NIGHT_MOSTLY_CLOUDY
