timestamp,spot,wave_surf,rating_rating_key,tides_type,tides_height,rating_rating_value,swells_height,swells_period,wind_directionType,weather_temperature,weather_condition
8pm,Blacks,0-3.0ft,POOR_TO_FAIR,NORMAL,2.7 FT,2.0,1.48868 FT,14.0,Onshore,63.46404 F,SHOWERS
8pm,Blacks,0-3.0ft,POOR_TO_FAIR,LOW,2.62 FT,2.0,1.48868 FT,14.0,Onshore,63.46404 F,SHOWERS
8pm,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,2.59 FT,2.0,1.48868 FT,14.0,Onshore,63.46404 F,MIST
8pm,LJ Shores,0-2.0ft,POOR_TO_FAIR,NORMAL,2.7 FT,2.0,1.48868 FT,14.0,Onshore,63.46404 F,SHOWERS
8pm,LJ Shores,0-2.0ft,POOR_TO_FAIR,LOW,2.62 FT,2.0,1.48868 FT,14.0,Onshore,63.46404 F,SHOWERS
8pm,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,2.75 FT,2.0,2.3003 FT,14.0,Onshore,66.18204 F,CLEAR
8pm,OB,0-3.0ft,POOR_TO_FAIR,NORMAL,2.81 FT,2.0,0.0 FT,0.0,Onshore,64.38204 F,CLEAR
8pm,PB,0-3.0ft,POOR_TO_FAIR,NORMAL,2.75 FT,2.0,2.3003 FT,14.0,Cross-shore,66.18204 F,CLEAR
8pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,2.7 FT,2.0,1.48868 FT,14.0,Onshore,63.46404 F,SHOWERS
8pm,Scripps,0-3.0ft,POOR_TO_FAIR,LOW,2.62 FT,2.0,1.48868 FT,14.0,Onshore,63.46404 F,SHOWERS
8pm,Tourmo,0-3.0ft,POOR,NORMAL,2.75 FT,1.0,2.3003 FT,14.0,Cross-shore,71.74404 F,CLEAR
7pm,Blacks,0-3.0ft,POOR_TO_FAIR,NORMAL,2.96 FT,1.875,1.51211 FT,14.0,Onshore,63.824 F,MIST
7pm,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,2.94 FT,2.0,1.51211 FT,14.0,Onshore,63.932 F,MIST
7pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,2.96 FT,2.0,1.51211 FT,14.0,Onshore,63.824 F,MIST
7pm,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,3.09 FT,2.0,2.32861 FT,14.0,Onshore,66.524 F,MOSTLY_CLEAR
7pm,OB,0-3.0ft,POOR_TO_FAIR,NORMAL,3.18 FT,2.0,0.9543 FT,5.0,Onshore,65.318 F,CLEAR
7pm,PB,0-3.0ft,FAIR,NORMAL,3.09 FT,3.0,2.32861 FT,14.0,Cross-shore,66.524 F,MOSTLY_CLEAR
7pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,2.96 FT,2.0,1.51211 FT,14.0,Onshore,63.824 F,MIST
7pm,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,3.09 FT,2.0,2.32861 FT,14.0,Cross-shore,71.726 F,CLEAR
6pm,Blacks,0-3.0ft,POOR_TO_FAIR,NORMAL,3.25 FT,1.75,1.52598 FT,14.0,Onshore,64.36396 F,MIST
6pm,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,3.29 FT,2.0,1.52598 FT,14.0,Onshore,64.34596 F,MIST
6pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,3.25 FT,2.0,1.52598 FT,14.0,Onshore,64.36396 F,MIST
6pm,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,3.41 FT,2.0,2.3854 FT,14.0,Onshore,66.05596 F,MOSTLY_CLEAR
6pm,OB,0-3.0ft,POOR_TO_FAIR,NORMAL,3.54 FT,2.0,0.92372 FT,5.0,Onshore,65.35396 F,CLEAR
6pm,PB,0-3.0ft,FAIR,NORMAL,3.41 FT,3.0,2.3854 FT,14.0,Cross-shore,66.05596 F,MOSTLY_CLEAR
6pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,3.25 FT,2.0,1.52598 FT,14.0,Onshore,64.36396 F,MIST
6pm,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,3.41 FT,2.0,2.3854 FT,14.0,Offshore,69.25996 F,MOSTLY_CLEAR
5pm,Blacks,0-3.0ft,POOR_TO_FAIR,NORMAL,3.4 FT,1.625,1.56575 FT,14.0,Onshore,65.10196 F,MIST
5pm,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,3.45 FT,2.0,1.56575 FT,14.0,Onshore,65.24596 F,MOSTLY_CLOUDY
5pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,3.4 FT,2.0,1.56575 FT,14.0,Onshore,65.10196 F,MIST
5pm,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,3.56 FT,2.0,2.3814 FT,14.0,Onshore,66.21796 F,MOSTLY_CLOUDY
5pm,OB,0-3.0ft,POOR_TO_FAIR,NORMAL,3.71 FT,2.375,0.75653 FT,5.0,Onshore,65.56996 F,CLEAR
5pm,PB,0-3.0ft,FAIR,NORMAL,3.56 FT,3.0,2.3814 FT,14.0,Cross-shore,66.21796 F,MOSTLY_CLOUDY
5pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,3.4 FT,2.0,1.56575 FT,14.0,Onshore,65.10196 F,MIST
5pm,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,3.56 FT,2.0,2.3814 FT,14.0,Offshore,68.25196 F,MOSTLY_CLOUDY
4pm,Blacks,0-3.0ft,FAIR,NORMAL,3.28 FT,2.5,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,Blacks,0-3.0ft,FAIR,HIGH,3.41 FT,2.5,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,Del Mar,0-3.0ft,POOR_TO_FAIR,NORMAL,3.29 FT,2.0,1.55823 FT,14.0,Onshore,65.24604 F,CLEAR
4pm,Del Mar,0-3.0ft,POOR_TO_FAIR,HIGH,3.44 FT,2.0,1.55823 FT,14.0,Onshore,65.24604 F,CLEAR
4pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,NORMAL,3.28 FT,2.0,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,LJ Shores,0-3.0ft,POOR_TO_FAIR,HIGH,3.41 FT,2.0,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,Mission,0-3.0ft,POOR_TO_FAIR,NORMAL,3.39 FT,2.0,2.38153 FT,14.0,Onshore,66.16404 F,CLEAR
4pm,Mission,0-3.0ft,POOR_TO_FAIR,HIGH,3.54 FT,2.0,2.38153 FT,14.0,Onshore,66.16404 F,CLEAR
4pm,OB,0-3.0ft,FAIR,NORMAL,3.53 FT,2.5,0.92215 FT,5.0,Onshore,65.64204 F,CLEAR
4pm,OB,0-3.0ft,FAIR,HIGH,3.71 FT,2.5,0.92215 FT,5.0,Onshore,65.64204 F,CLEAR
4pm,PB,0-3.0ft,FAIR,NORMAL,3.39 FT,3.0,2.38153 FT,14.0,Cross-shore,66.16404 F,CLEAR
4pm,PB,0-3.0ft,FAIR,HIGH,3.54 FT,3.0,2.38153 FT,14.0,Cross-shore,66.16404 F,CLEAR
4pm,Scripps,0-3.0ft,POOR_TO_FAIR,NORMAL,3.28 FT,2.0,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,Scripps,0-3.0ft,POOR_TO_FAIR,HIGH,3.41 FT,2.0,1.55823 FT,14.0,Onshore,65.19204 F,MOSTLY_CLOUDY
4pm,Tourmo,0-3.0ft,POOR_TO_FAIR,NORMAL,3.39 FT,2.0,2.38153 FT,14.0,Offshore,67.10004 F,MOSTLY_CLOUDY
4pm,Tourmo,0-3.0ft,POOR_TO_FAIR,HIGH,3.54 FT,2.0,2.38153 FT,14.0,Offshore,67.10004 F,MOSTLY_CLOUDY
